,RIO AU Equity
,GHG_SCOPE_1
2011-12-31,27300.0
2012-12-31,26900.0
2013-12-31,23400.0
2014-12-31,21900.0
2015-12-31,19800.0
2016-12-31,21000.0
2017-12-31,20000.0
2018-12-31,17800.0
2019-12-31,17100.0
2020-12-31,17100.0
2021-12-31,22700.0
